PLAN TYPE,PLAN NO,PLAN YEAR,CALENDAR YEAR,Plan,DESCRIPITION OF PLAN,# OF SHEETS,Project on File,LINK TO ELECTRONIC FILES
S,109,2001,2001,S-109-2001,BRAEFIELD SUBD PH 1-6 - STE; UTE; STRM; ERO; RD P&P; SS O/F P&P,26,X,S-109-2001
S,109,1987,1987,S-109-1987,SUBDIVISION OF CLIFF BENSON PROPERTY  ; (Q-1163 ),1,X,S-109-1987
S,109,1994,Oct-94,S-109-1994,YORKCHESTER AT SIX FORKS      ( M-1002 ),1,X,S-109-1994
S,109,1995,1995,S-109-1995,REMINGTON PARK PH 2,10,X,S-109-1995
S,109,1996,1996,S-109-1996,RIVERBROOK (ROCK QUARRY @ ROCKWOOD),11,X,S-109-1996
S,109,1996,Nov-96,S-109-1996,RIVERBROOK PH 2 - SITE PLAN; ROADS; P&P,8,X,S-109-1996
S,110,1996,May-96,S-110-1996,RIVERBROOK PH 3 & 4 - SITE; UTE; RDS; P&P,12,X,S-110-1996
S,110,1997,1997,S-110-1997,BATTLERIDGE SUBD PH 2 OF 3 - STE; UTE; DR; ERO; P&P; SS O/F,29,X,S-110-1997
S,110,1998,1997,S-110-1998,FLYTHE HILLS PH 1 & 2 - SITE; UTE; P&P; RDS,7,X,S-110-1998
S,110,1998,1998,S-110-1998,"FLYTHE HILLS SEWER OUTFALL 15"" P&P",2,X,S-110-1998
S,110,2000,2000,S-110-2000,HEDINGHAM ON THE NEUSE PH 4&3 - ADDRESS; DRAINAGE,6,X,S-110-2000
S,110,2003,2003,S-110-2003,LONG LAKE POINTE - MP;STE;LYT;UTE;DR;GRA;ERO;P&P;L/S,17,X,S-110-2003
S,110,1984,1984,S-110-1984,PARAGON PARK SUBDIVISION       (  S-826 ; S-784 ; S-785 ; S-888 - S-930 ),5,X,S-110-1984
S,110,1985,1985,S-110-1985,LOT 1 ; NORTH BOULEVARD INDUSTRIAL PARK  ; GREENWAY DEDICATION    (Q-1127 ; Q-1144 ),2,X,S-110-1985
S,110,1995,1995,S-110-1995,SIX FORKS PLACE,1,X,S-110-1995
S,110,1997,1997,S-110-1997,LOT 1- 21 ; NORTH BOULEVARD INDUSTRIAL PARK,1,X,S-110-1997
S,110,1998,Apr-98,S-110-1997,BROOKSTONE PH 1 - SITE; UTE; RDS; P&P,12,X,S-110-1997
S,111,1998,Aug-98,S-111-1998,BROOKSTONE PH 2 - SITE; UTE; STM; ST; P&P,10,X,S-111-1998
S,111,1998,Jul-98,S-111-1998,BROOKSTONE PH 2 - COBBLE LN - P&P,1,X,S-111-1998
S,111,1998,Dec-98,S-111-1998,BROOKSTONE PH 3&4 SUBD PLAN; LT LAYOUT; UTE; STRM; ERO; P&P; RD,9,X,S-111-1998
S,111,2000,2000,S-111-2000,ANSON WAY IMPROVEMENTS - ROADWAY REVISIONS P&P,3,X,S-111-2000
S,111,2001,2001,S-111-2001,CHASTAIN II PH 9 - STE; SUB LYT; UTE; STRM; GR; RD P&P; SWR OF,14,X,S-111-2001
S,111,2001,2001,S-111-2001,CHASTAIN II PH 10 - STE; SUBD; LTS; UTE; STRM; GR; P&P,10,X,S-111-2001
S,111,2003,2003,S-111-2003,PEYTON HALL PHASE 1 STILL MEADOWS RD & WEDGEWOOD DRIVE,15,X,S-111-2003
S,111,2003,2003,S-111-2003,PEYTON HALL PHASE 2,13,X,S-111-2003
S,111,2003,2003,S-111-2003,"PEYTON HALL - PHASE 1 ""REVISED PLANS""",16,X,S-111-2003
S,112,1996,1996,S-112-1996,GLOBE CENTER PH 1 (GLOBE CENTER RD @ GLOBE RD),6,X,S-112-1996
S,112,1996,1996,S-112-1996,GLOBE CENTER PH 1 - P&P REVISION,6,X,S-112-1996
S,112,1997,1997,S-112-1997,BENTLEY RIDGE PH 1 - P&P BLUE RIDGE & ED DRIVE,8,X,S-112-1997
S,112,1997,1997,S-112-1997,BENTLEY RIDGE PH 2 TOWNHOME LOTS & ROADS P&P,11,X,S-112-1997
S,112,2001,2001,S-112-2001,BATTLERIDGE NORTH SUBDIV;   PH 3 & 4    STE;UTE;STRM; ERO; RDS; P&P; SAN SWR; O/F,25,X,S-112-2001
S,112,2001,2001,S-112-2001,BATTLE RIDGE NORTH PHASE 1 & 2 - SITE PLAN;UTE;SWR;WTR;STRM;ERO;ROAD P&P,33,X,S-112-2001
S,113,1984,1984,S-113-1984,LINCOLN PARK EAST    (T-582 ; T-618 ; T-626 ; T-682 ; T-686 ; T-687 ; T-706 ; T-707 ; T-760 ),9,X,S-113-1984
S,113,1986,1986,S-113-1986,BERKSHIRE DOWNS - WEST PHASE 7     ( S-781 ),1,X,S-113-1986
S,113,1987,1987,S-113-1987,COUNTRY WOODS ESTATES SUBDIVISION  ( L-886 ),1,X,S-113-1987
S,113,1997,1997,S-113-1997,F & B INVESTMENT - SAN SWR EX; P&P - RUSH ST,2,X,S-113-1997
S,113,1999,May-99,S-113-1999,TRYON PLACE SUBD - REVISION REPHASING - SUBD LAYOUT; SED & ERO; RDS; STE; GR & DR; UTE; SS O/F P&P,23,X,S-113-1999
S,113,2003,3-Jul,S-113-2003,LONG LAKE COURTS,17,X,S-113-2003
S,114,1984,Jan-84,S-114-1984,LINCOLN PARK EAST    (T-635 ),1,X,S-114-1984
S,114,1986,1986,S-114-1986,PINECREST POINT SHOPPING CENTER             ( L-939 ),1,X,S-114-1986
S,114,1997,1997,S-114-1997,BENSON DRIVE EXTENSION - P&P @ ST ALMANS DR,2,X,S-114-1997
S,114,1999,1999,S-114-1999,MITCHEL MILL SUBD PH 12 - STE; P&P; ERO; DTLS                                              ,7,X,S-114-1999
S,114,1999,Apr-99,S-114-1999,MITCHELL MILL SUBD PH 13,7,X,S-114-1999
S,114,1999,Nov-99,S-114-1999,MITCHELL MILL SUBD PH 12 P&P DETAIL HOPPER ST CULVERT,6,X,S-114-1999
S,114,1999,1999,S-114-1999,MITCHELL MILL PH 14 - SUBD; STE; P&P; SS O/F; ERO,8,X,S-114-1999
S,114,1999,1999,S-114-1999,MITCHELL MILL SUBD PH 1 - 11  - ERO; STE; SUBD PLN; RDS; STRM O/F; SS O/F; FORESTVILLE RD WIDENING P&P,23,X,S-114-1999
S,114,2001,2001,S-114-2001,DUNN RD SUBD - STE; UTE; STRM; GR; ERO; P&P,11,X,S-114-2001
S,115,1984,1984,S-115-1984,HARTFORD HILLS ; DEDICATION OF PUBLIC AND PRIVATE SANITARY SEWER EASEMENTS    ( L-888 ),1,X,S-115-1984
S,115,1986,1986,S-115-1986,PROPERTY OF W.C.& S.B. GRIFFITH ; 800 BLOCK OF FAIRALL DR. (F-133),1,X,S-115-1986
S,115,1987,1987,S-115-1987,AS-BUILT SURVEY FOR SOMERSET ASSOCIATES II      (Q-1132),1,X,S-115-1987
S,115,1996,1996,S-115-1996,KEL WAY DRIVE TRICT 1 PH 1 - WAKEFIELD PLANTATION (FALLS OF NEUSE @ US 1,4,X,S-115-1996
S,115,1996,Jul-96,S-115-1996,WAKEFIELD TR 1 PH 2; 3; 4,12,X,S-115-1996
S,115,1996,May-96,S-115-1996,PLANTATION DR PH 1A - TR1 PH 1 WAKEFIELD PLANTATION,11,X,S-115-1996
S,115,1996,Aug-96,S-115-1996,WAKEFIELD PLANTATION TR 1 PH 1 SUBD,16,X,S-115-1996
S,115,1996,1996,S-115-1996,WAKEFIELD TR 1 PH 5; 6; 7 & 8 - SITE; UTE; ERO; RDS; P&P,10,X,S-115-1996
S,115,1997,1997,S-115-1996,WAKEFIELD PLANTATION - NORTH WAKE INTECEPTOR SS P&P,3,X,S-115-1996
S,115,2001,2001,S-115-2001,REDWOLF CROSSING - STE; UTE; ERO; STR; GR; LS; P&P,12,X,S-115-2001
S,115,2003,2003,S-115-2003,THE COVE AT LONG LAKE TRACT 9 - MP;S LYT;UTE;DRA;GRA;ERO;P&P;STREETS,18,X,S-115-2003
S,116,1985,1985,S-116-1985,EAST RIDGE COMMERCE PARK       (T-679 ; T-689 ; T-690; T-777 ),4,X,S-116-1985
S,116,1986,1998,S-116-1986,FIELD STREAM  FARM      ( L-792 )         ,1,X,S-116-1986
S,116,1996,1996,S-116-1996,LITCHFORD TOWNS,2,X,S-116-1996
S,116,1996,2000,S-116-1996,WYNSLOW PARK / BELLSOUTH / SLOPE,14,X,S-116-1996
S,116,2003,3-Dec,S-116-2003,TAYLORS CREEK AT NEUSE,15,X,S-116-2003
S,117,1985,Sep-85,S-117-1985,RIVERBEND AT LAKESIDE    ( S-759 ; S-881 ),2,X,S-117-1985
S,117,1986,1986,S-117-1986,LOT 2 ; WESCO SUBDIVISION     ( S-772 ),1,X,S-117-1986
S,117,1987,1987,S-117-1987,RIGHT OF WAY DEDICATION MAP FOR JIM W. BRADKE    ( S-865 ),1,X,S-117-1987
S,117,1996,1996,S-117-1996,GREYSTONE PARK (OFF LEAD MINE RD),13,X,S-117-1996
S,117,1996,Mar-96,S-117-1996,GREYSTONE PARK -AS BUILT - SITE; P&P; LAYOUT,13,X,S-117-1996
S,117,1997,Jun-97,S-117-1997,SOMERSET SPRING TOWNHOME PH 1 - SITE; LOTS; UTILITY P&P,9,X,S-117-1997
S,117,1997,Aug-97,S-117-1997,SUBDIVISION PLAT;PROPERTY OF HERBERT THOMAS HEIRS;3400 BLOCK -TRYON RD.,11,X,S-117-1997
S,117,1997,1997,S-117-1997,SOMMERSET PLACE TOWNS PH 2 - SITE; UTE; RDS; P&P                                            ,11,X,S-117-1997
S,117,2003,2003,S-117-2003,DURSTON SUBDIVISION,15,X,S-117-2003
S,117,2003,2003,S-117-2003,DURSTON SUBDIVISION SAN. SEWER EXTENSION,3,X,S-117-2003
S,118,1985,Mar-85,S-118-1985,SPRING PINES ; PHASE'S 2 & 3,5,X,S-118-1985
S,118,1986,1986,S-118-1986,COUNTRY CLUB HILLS S/D ; LOTS 107A & 107B    ( M-777 ),1,X,S-118-1986
S,118,1987,1987,S-118-1987,R/W DEDICATION MAP FOR THE KROGER CO. ; LYNNWOOD COLLECTION SHOPPING CENTER   ( L-878 0,1,X,S-118-1987
S,118,1997,1997,S-118-1997,HAMMOND SUBD - STE; UTE; STRM; ERO; P&P,7,X,S-118-1997
S,118,1998,Dec-98,S-118-1998,WILLIAMS - ATLANTIC SUBD - SITE; STORM; RD,6,X,S-118-1998
S,118,1998,Aug-98,S-118-1998,WILLIAMS - ATLANTIC - ONE SHEET REVISION - P&P,1,X,S-118-1998
S,118,1999,Mar-99,S-118-1999,CYMEN COMMONS - LT LYOUT; ROADS P&P,4,X,S-118-1999
S,118,2003,2003,S-118-2003,GLENWOOD NORTH - PHASES 1-8,54,X,S-118-2003
S,119,1986,1986,S-119-1986,CAPITAL CENTER ASSOCIATES  I       ( J-562 ),1,X,S-119-1986
S,119,1996,1996,S-119-1996,FAIRBANKS OFFICE SITE - LOT L/O; P&P,1,X,S-119-1996
S,119,1998,1998,S-119-1998,WAKEFIELD LOT H - SITE; UTE; RD; P&P,10,X,S-119-1998
S,119,1998,Aug-98,S-119-1998,WAKEFIELD PLANTATION LOT H,10,X,S-119-1998
S,119,2001,2001,S-119-2001,LONG LAKE SUBD LT 1 PH 2 - STE; UTE; GR; DR; ERO; ST; P&P.SWR O/F,14,X,S-119-2001
S,119,2001,1-Sep,S-119-2001,LONG LAKE  LOT 1;  PH 3 & 4  REVISED SET  LAYOUT;UTE;GR; DR;ERO;P&P,16,X,S-119-2001
S,119,2001,2001,S-119-2001,LONG LAKE SUBD LOT 1 PH 1 REVISED PLANS - LYT; UTE; GR; DR; ERO; RDS; P&P,21,X,S-119-2001
S,119,2001,2001,S-119-2001,LONG LAKE SUBDIVISION LOT 1 PHASE 1 CONSTRUCTION PLANS (MEDIAN REVISION),5,X,S-119-2001
S,120,1984,1984,S-120-1984,PROPOSED SUBDIVISION FOR BOBBY GILL    ( V-383 ),1,X,S-120-1984
S,120,1986,1986,S-120-1986,CARROLLTON WOODS SUBDIVISION       ( L-976 ),1,X,S-120-1986
S,120,1996,1996,S-120-1996,VILLAGE OF PINECREST / LEESVILLE GARDENS @ PINECREST,6,X,S-120-1996
S,120,1996,1996,S-120-1996,VILLAGE @ PINECREST PH 4 - LOTS; P&P (ONEAL RD),3,X,S-120-1996
S,120,1997,Oct-97,S-120-1997,BROOKSIDE VILLAGE TOWNS & CONDOS - SITE; STRM; UT P&P                                    ,14,X,S-120-1997
S,120,1997,Jul-97,S-120-1997,BROOKSIDE VILLAGE - REVISION - LOT #'S CHANGED,14,X,S-120-1997
S,120,1999,1999,S-120-1999,ENCLAVE @ BENTLY RIDGE - SUBD; UTE; STR; ERO; RDS; P&P,9,X,S-120-1999
S,121,1984,1984,S-121-1984,BERKSHIRE DOWNS - WEST PHASE 7     ( S-815 ),1,X,S-121-1984
S,121,1986,1986,S-121-1986,TRAILWOOD GLEN - SITE; UTILITIES; ERO; P&P  ( Y-430 ),1,X,S-121-1986
S,121,1987,1987,S-121-1987,LINCOLN PARK ; PHASE 2        ( T-688 ; T-723 ),2,X,S-121-1987
S,121,1997,1997,S-121-1997,WILTSHIRE TOWNHOMES WAKEFIELD PLANTATION PH 1 - SITE; P&P; UT; RDS; STR,12,X,S-121-1997
S,121,1997,Feb-97,S-121-1997,WAKEFIELD - YORKSHIRE PH 1 - SITE; UTE; STRM; ERO; RDS; P&P,12,X,S-121-1997
S,121,1997,Sep-97,S-121-1997,WAKEFIELD - WILTSHIRE TOWNS PH 1 REVISION - SITE; RD; UT; P&P,13,X,S-121-1997
S,121,1997,Apr-97,S-121-1997,WAKEFIELD - YORKSHIRE PH 2 - SITE; UTE; RDS; P&P,9,X,S-121-1997
S,121,1997,1997,S-121-1997,TOWES OF WAKEFIELD PLANTATION PH 2 & 3 - SITE; RDS; UTIL; D&E,14,X,S-121-1997
S,121,1997,1999,S-121-1997,WAKEFIELD PLANTATION PH 3 & 4 - UTL; GR; DR; ERO; PROF; RDWY,9,X,S-121-1997
S,121,1999,1999,S-121-1999,EMPLOYMENT SECURITY COMMISSION SWR EST - P&P,1,X,S-121-1999
S,121,2001,2001,S-121-2001,BELLAIRE TOWNES - SUBD; UTE; GR; ,4,X,S-121-2001
S,121,2003,2003,S-121-2003,THE PARK AT BATTLE BRIDGE - PRELIM PLANS - UTE;DRA;ERO;ROAD;LNDSCP,20,X,S-121-2003
S,121,2003,2003,S-121-2003,JOHN'S POINTE PHASE 1 & 2 (FORMERLY PARK AT BATTLE BRIDGE),17,X,S-121-2003
S,122,1986,1986,S-122-1986,HEDINGHAM VILLAGE ; PHASE 1,4,X,S-122-1986
S,122,1997,1997,S-122-1997,HAGAN FAMILY LLC - SITE PLAN; LOTS; P&P,3,X,S-122-1997
S,122,1999,1999,S-122-1999,SUBDIVISION OF GLORIA G. CASON PROPERTY ; 500 BLOCK- RAMBLEWOOD DR.,1,X,S-122-1999
S,122,2000,2000,S-122-2000,HEDINGHAM ON THE NEUSE  - SSE; TEMP,4,X,S-122-2000
S,122,2000,Jun-00,S-122-2000,THORNBLADE PH 7&8(HOTN) - SUBD; UTE; STREETS P&P,5,X,S-122-2000
S,123,1984,1984,S-123-1984,MILLSTREAM SUBDIVISION CONSTRUCTION PLANS (M-674; 1-5),5,X,S-123-1984
S,123,1987,Feb-87,S-123-1987,ADVENTURA ESTATES SUBDIVISION      ( S-919 ),1,X,S-123-1987
S,123,1996,1996,S-123-1996,CHESIRE SUBD (OFF FALLS OF NEUSE) - SITE; UTIL; P&P MASTER,12,X,S-123-1996
S,123,1997,1997,S-123-1997,WESTGATE CENTER,15,X,S-123-1997
S,123,1997,Jun-97,S-123-1997,WESTGATE CTR - STE; UTE; STRM DR & ERO; P&P; RDS,15,X,S-123-1997
S,123,2003,3-Oct,S-123-2003,ST. JAMES PLACE AT WAKEFIELD; PHASE 5,9,X,S-123-2003
S,124,1996,1996,S-124-1996,BERKSHIRE SUBD PH 1 - UTILITIES & ROADWAY P&P,10,X,S-124-1996
S,124,1997,1997,S-124-1997,PRELIMINARY SUBDIVISION PLAT;PROPERTY OF JLMJ INC.;1400 BLOCK-GAVIN ST.-BM1998PG277,1,X,S-124-1997
S,124,2001,2001,S-124-2001,WKFLD CROSSING PH 3 TR 1 SS O/F,3,X,S-124-2001
S,124,2001,2001,S-124-2001,HANNOVER ASSTD LIVING @ WAKEFIELD - STE; UTE; GR; STRM; ERO; SS P&P,12,X,S-124-2001
S,125,1998,1998,S-125-1998,WAKEFIELD COMMONS SHOPPING CENTER - SITE; UTE; P&P,23,X,S-125-1998
S,125,1999,Dec-99,S-125-1999,THORNBLADE PH 4&5 - STE; UTE; STRM; STR; P&P,5,X,S-125-1999
S,125,2000,2000,S-125-2000,HABITAT FOR HUMANITY - WATER DR TRACT,15,X,S-125-2000
S,125,2003,2003,S-125-2003,MEADOWS AT LONG LAKE; PHASE 1 & 2,21,X,S-125-2003
S,126,1986,1986,S-126-1986,WHEELER CROSSING    ( X-149 ),1,X,S-126-1986
S,126,1987,1987,S-126-1987,SHEFFIELD MANOR II    ( P-817 ),1,X,S-126-1987
S,126,1997,1997,S-126-1997,PROPERTY OF C & M WAREHOUSE VENTURES    ,1,X,S-126-1997
S,127,1983,1983,S-127-1983-,LOT 171 ; TOWER COMMERCIAL PARK     ( S-1113 ),1,X,S-127-1983-
S,127,1999,Mar-99,S-127-1999,WAKEFIELD LOT I-1 PH 2 - ROADWAY & STRM DR PLANS - ERO; STR; P&P,7,X,S-127-1999
S,127,1999,Jan-99,S-127-1999,WAKEFIELD PLANTATION - WETLAND; 100 YR FLOOD PLAIN,7,X,S-127-1999
S,127,1999,Aug-99,S-127-1999,ST JAMES PL - PH2; 3 & 4 @ WAKEFIELD,21,X,S-127-1999
S,127,1999,Jan-99,S-127-1999,WAKEFIELD LT I-1 PH 1 - SUBD PLAN; UTE; STR; RDS; P&P,16,X,S-127-1999
S,127,1999,1999,S-127-1999,WAKEFIELD PLANTATION LOT I-1 PH 1 - SS,16,X,S-127-1999
S,127,2000,2000,S-127-2000,BROOKSHIRE SUBDIVISION,5,X,S-127-2000
S,128,1987,1987,S-128-1987,EASTPARK       (T-702 ; T-716 ; T-721; T-722 ;T-729 ; T-741 ; T-762 ; T-836 ),8,X,S-128-1987
S,128,1997,1997,S-128-1997,"WAKEFIELD LOT ""PI"" - LOTS; ROADS; UTILITY; P&P",9,X,S-128-1997
S,128,1997,1997,S-128-1997,WF LOT 1 P&P; UTILITY; LOTS; EROSION; ROAD,9,X,S-128-1997
S,128,2000,Jun-00,S-128-2000,MAISONS EN MER / ADDRESSES / WATER,7,X,S-128-2000
S,128,2003,3-Feb,S-128-2003,GRIFFIS GLEN SUBDIVISION; PH 1;2 & 3 - LT;ST;ROAD;P&P;UTE;WTR;SWR;STRM;ERO,47,X,S-128-2003
S,129,2001,2001,S-129-2001,WALGREEN @ FALLS OF NEUSE & SPRING FOREST    SEWER ONLY      P&P,3,X,S-129-2001
S,129,2003,2003,S-129-2003,HAMMOND INDUSTRIAL PARK; LOTS 13 & 14 - SIDEWALK & WATERLINE,2,X,S-129-2003
S,130,1996,1996,S-130-1996,"WAKEFIELD LOT ""E"" PH 1 TOWNHOMES - LOTS; RD; P&P",9,X,S-130-1996
S,130,1996,1996,S-130-1996,"WF LOT ""E"" PHASE 1 - SITE; P&P; EROSION",8,X,S-130-1996
S,130,1997,1997,S-130-1997,MEADOW SPRING - SITE; STRM; UT; ROAD P&P,9,X,S-130-1997
S,130,1999,1999,S-130-1999,CLUB VILLAS TOWNHOME DEVELOPMENT ; PHASE 1 ; WAKEFIELD PLANTATION,1,X,S-130-1999
S,130,2000,2000,S-130-2000,SULGROVE MANOR - STE/SUBD P&P,3,X,S-130-2000
S,130,2001,2001,S-130-2001,WESTLAKE POINTE SUBD - STE; GR; DR; UTE; ERO; SS O/F; ROADS,13,X,S-130-2001
S,130,2001,2001,S-130-2001,WESTLAKE POINTE SEWER REVISION,1,X,S-130-2001
S,130,2001,1-Nov,S-130-2001,WESTLAKE POINTE SS REVISION - SS P&P,1,X,S-130-2001
S,130,2003,2003,S-130-2003,HERNDON VILLAGE - PRELIMINARY SUBDIVISION - GRA;ERO;UTE;LNDSCP,9,X,S-130-2003
S,130,2003,2003,S-130-2003,HERNDON VILLAGE 411 CROSSLINK ROAD PRELIM. SUBDIVISION PLAN,9,X,S-130-2003
S,131,1986,1986,S-131-1986,LOT 14 ; PYLON COMMERCIAL PARK  ( J-553 0 / HUTTON ST. R/W DEDICATION  ( J-586 ),2,X,S-131-1986
S,131,1987,1987,S-131-1987,LOT 12 ; PYLON COMMERCIAL PARK  ( J-538 ),1,X,S-131-1987
S,131,1997,1997,S-131-1997,SURVEY FOR WALLACE E. DRIVER AND MARTHA H. DRIVER,1,X,S-131-1997
S,131,1999,1999,S-131-1999,LT F1 @ WAKEFIELD PLANTATION - STE; RDS; P&P; UTE; ERO,15,X,S-131-1999
S,131,1999,Jan-99,S-131-1999,WAKEFIELD CALLOWAY ON THE GREEN; PH 4&5; REV 9/8/03,9,X,S-131-1999
S,131,1999,Oct-99,S-131-1999,CALLOWAY ON THE GREEN AT WAKEFIELD; PHASE 4 & 5,9,X,S-131-1999
S,131,2000,Dec-00,S-131-2000,ADDISON PRESERVE AT PERRY CREEK PH 1 - STE; UTL; GR; DR; ERO; ROOF; CONST; RDWY,12,X,S-131-2000
S,131,2000,2000,S-131-2000,ADDISON RESERVE @ PERRY CREEK PH 2&3 - SUBD; STE; ERO; STRM; UTE; P&P,15,X,S-131-2000
S,131,2001,2001,S-131-2001,BRIDGEWATER SUBD - SUBD; STE; P&P; STRM SWR O/F; STRM; ERO,14,X,S-131-2001
S,131,2003,2003,S-131-2003,BENNINGTON; PHASE 2,14,X,S-131-2003
S,132,1987,1987,S-132-1987,PROPOSED SUBDIVISION OF MURRAY PROPERTY - ATWATER & O'KELLY STREETS  ( J-554 ),1,X,S-132-1987
S,132,1997,1997,S-132-1997,WICKFORD PH 1 & 2 - SITE; UTILITY; ERO; RDS; P&P                                      ,9,X,S-132-1997
S,132,1997,1997,S-132-1997,WYCKFORD PH 3 - SITE; UTE; RDS; P&P,5,X,S-132-1997
S,132,1997,1997,S-132-1997,WYCKFORD PH 4 - STE; UTE; STREETS; P&P,6,X,S-132-1997
S,132,1997,Apr-97,S-132-1997,WYCKFORD PH 1 & 2 - SITE; UTIL; ERO; RDS; P&P - REVISION,9,X,S-132-1997
S,132,1997,1997,S-132-1997,WICKFORD PH 1 & 2 - SECOND REVISION,9,X,S-132-1997
S,132,1999,1999,S-132-1999,LASSITER PLACE SUBD - STE; P&P,6,X,S-132-1999
S,132,1999,1999,S-132-1999,LASSITER PLACE SUBD - SUBD; WATER; SS; GR,7,X,S-132-1999
S,132,1999,1999,S-132-1999,LASSITER PLACE SUBD - SUBD; WATER; SS; GR,7,X,S-132-1999
S,132,2003,2003,S-132-2003,REDEEMING LOVE MISSIONARY BAPTIST CH - SWR;RD;LNDSC;SED;STE;GRA;DRA;UTE;ERO,17,X,S-132-2003
S,133,1984,1984,S-133-1984,BRITTANY WOODS TOWNHOMES - AS BUILTS,1,X,S-133-1984
S,133,1999,1999,S-133-1999,METHOD TOWNHOMES - DRAINAGE; P&P; SITE PLAN,5,X,S-133-1999
S,133,2000,2000,S-133-2000,OVERLOOKE @ SIMMS CRK LOTS 1-5 - SUBD; STE; UTE; DR; GR; ERO; RD WID; P&P,13,X,S-133-2000
S,134,1983,1983,S-134-1983,SUNGATE SUBDIVISION    (T-588 ),1,X,S-134-1983
S,134,1999,1999,S-134-1999,FARRINGTON GROVE - STE; SS; P&P; STRM; DR; GR & DR PLAN; UTE; ERO; DALY WIDENING,13,X,S-134-1999
S,134,1999,1999,S-134-1999,FARRINGTON GROVE - PVT DRAINAGE; NCDOT SLOPE,13,X,S-134-1999
S,134,1999,1999,S-134-1999,FARRINGTON GROVE REVISED WATERLINE - UTE,1,X,S-134-1999
S,134,2000,May-00,S-134-2000,DELTA RIDGE PHASE 7,16,X,S-134-2000
S,134,2000,2000,S-134-2000,DELTA RIDGE PH 7 - STE; UTK; LND; GR; DR; ERO; 2ON,16,X,S-134-2000
S,135,1986,1986,S-135-1986,SUBDIVISION OF PROPERTY OF STATION SQUARE ASSOCIATES ( C-285 ),1,X,S-135-1986
S,135,2001,2001,S-135-2001,LEYLAND HEIGHTS       STE,3,X,S-135-2001
S,136,1999,1999,S-136-1999,SPRINGFIELD SUBD PH 1; 2; 3 & 4 - LAYOUT; GR & DR; UTE; P&P; ERO; SS,38,X,S-136-1999
S,136,1999,1999,S-136-1999,SPRINGFIELD SUBD PH 1-4 - EXT; STE; GR; DR; UTL; P&P; ERO,38,X,S-136-1999
S,136,1999,Aug-99,S-136-1999,SPRINGFIELD SUBD PH 1-4 - DR; P&P,2,X,S-136-1999
S,136,1999,1999,S-136-1999,SPRINGFIELD SUBD PH 1-4 REVISIONS TO SAN SWR,5,X,S-136-1999
S,136,2000,2000,S-136-2000,THE VILLAS @ FALLS LAKE EXT - LAYOUT; GR; DR; UTE; P&P DTLS,14,X,S-136-2000
S,136,2003,2003,S-136-2003,ACC BLVD EXTENTION,13,X,S-136-2003
S,137,1999,1999,S-137-1999,WILLIFORD PLACE SUBD - STE; UTE; ERO; P&P,8,X,S-137-1999
S,137,2000,2000,S-137-2000,BRADDOCK PARK TOWNHOMES     ,18,X,S-137-2000
S,138,1986,1986,S-138-1986,THE VINYARD SUBDIVISION ; PHASE'S 1 & 2   ( T-621 ; T-677 ),2,X,S-138-1986
S,138,1999,1999,S-138-1999,FALLS VILLAGE SHOPPING CTR PH 3 - STE; DEMO; GR; DR; UTE; STR; ERO,13,X,S-138-1999
S,138,2003,2003,S-138-2003,FARRINGTON GROVE PH V - SITE PLAN;DRA;GRA;UTE;STRM;WTR;LNDSC,11,X,S-138-2003
S,139,1984,Dec-84,S-139-1984,NORTH RIDGE ESTATES SUBDIVISION   ( Q-1110 ; Q-1181 ),2,X,S-139-1984
S,139,1986,Jan-87,S-139-1984,PROPERTY OF ROBERT C. YATES ; Jr. & VIRGINIA M. YATES    ( Q-1073),1,X,S-139-1984
S,139,1987,1987,S-139-1987,DURANT QUARTER WEST OF SIMMS   (Q-1222),1,X,S-139-1987
S,139,2000,2000,S-139-2000,ELLINGTON RIDGE TOWNHOMES - STE; UTE; GR; DR; ERO; CONSTR PLN,4,X,S-139-2000
S,139,2001,1-Jan,S-139-2001,US HWY 64 -IMPROVEMTS @ ROGERS FARM,10,X,S-139-2001
S,139,2001,1-Jun,S-139-2001,US HWY 64 IMPROVEMENTS AT ROGERS FARM - STE;ERO;P&P,2,X,S-139-2001
S,139,2001,1-May,S-139-2001,ROGERS FARM IMPROVEMENTS,11,X,S-139-2001
S,139,2001,2001,S-139-2001,EDGEWATER @ ROGERS FARM   PH 1-7    REVISIONS,11,X,S-139-2001
S,139,2001,2003,S-139-2001,SOUTHALL ROAD -  ROGERS FARM,22,X,S-139-2001
S,139,2001,2004,S-139-2001,SOUTHALL ROAD -  ROGERS FARM REVISION    P&P,1,X,S-139-2001
S,139,2001,2005,S-139-2001,ROGERS FARM TOWNHOMES (UTILITY REVISION - ONLY PU SIGNED OFF) (ONLY 1 SET),2,X,S-139-2001
S,139,2001,2003,S-139-2001,EDGEWATER @ ROGERS FARM PH 1-7 - STE; ERO; UTE; P&P; SS O/F,34,X,S-139-2001
S,139,2001,2003,S-139-2001,IMP @ ROGERS FARM;  EROS CONT; P&P; TRAFFIC CONT; PAVE MARKINGS,5,X,S-139-2001
S,140,1986,1986,S-140-1986,THE CASCADES     ( P-821 ; P-827 ),2,X,S-140-1986
S,140,1987,1987,S-140-1987,DURANT QUARTER - FINAL PLAT (Q-1223),1,X,S-140-1987
